store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,popular_item_count
yoh_035,תל אביב נחלת יצחק,יוחננוף,יוחננוף,35.0,נחלת יצחק 20,תל אביב יפו,0.0,32.0739817,34.7981136,-4.294386004314403,4717
yoh_037,עפולה,יוחננוף,יוחננוף,37.0,קהילת ציון 30,עפולה,0.0,32.6065955,35.2974223,-8.253468345150509,5609
yoh_038,טבריה תחתית,יוחננוף,יוחננוף,38.0,יהודה הלוי 113,טבריה,0.0,32.79081408461976,35.53184441507727,-8.012253907133445,4520
yoh_040,באר שבע,יוחננוף,יוחננוף,40.0,דרך חברון 48,באר שבע,0.0,31.2416655,34.8092079,-7.830878752764077,7239
yoh_046,מישור אדומים,יוחננוף,יוחננוף,,חרובית 9,מעלה אדומים,,31.790271002655313,35.33159855220235,-7.8005414183224895,6615
yoh_048,אשדות יעקב,יוחננוף,יוחננוף,48.0,אשדות יעקב,אשדות יעקב,0.0,32.6620459,35.5715331,-4.606731501307842,3487
yoh_050,נתניה הדרים,יוחננוף,יוחננוף,50.0,האורזים 2,נתניה,0.0,32.3232133,34.8715049,-8.008690737481798,7010
yoh_053,רעננה,יוחננוף,יוחננוף,53.0,נווה זמר,רעננה,0.0,32.1931177,34.8654493,-4.3350710349446455,3720
yoh_054,תא - אחד העם,יוחננוף,יוחננוף,54.0,unknown,תל אביב יפו,0.0,32.06564,34.77591,-1.1155603186265954,1266
yoh_055,נתיבות מנהטן,יוחננוף,יוחננוף,55.0,אליהו אילוז 2,נתיבות,0.0,31.4124752,34.5728863,-8.28861330150205,3906
yoh_059,אור עקיבא -שקמים,יוחננוף,יוחננוף,59.0,השקמים 8,אור עקיבא,0.0,32.5046361,34.917818,-4.963278663585021,2706
yoh_060,בית שאן,יוחננוף,יוחננוף,,מנחם בגין 1 ,בית שאן,,32.498671,35.503976,-4.810047116031035,4176
zol_003,רמות עליית נוער,זול ובגדול,זול ובגדול,,עליית הנוער 5,ירושלים,,31.810066831198057,35.19970286209431,-1.8411308084307278,2393
zol_004,מאה שערים,זול ובגדול,זול ובגדול,,מאה שערים פינת חבקוק 21,ירושלים,,31.7883017,35.2207595,-1.722926616006047,3909
zol_006,הפסגה 39 החדש,זול ובגדול,זול ובגדול,,הפסגה 39 39,ירושלים,,31.7668152,35.1838443,-1.3220707339365176,3288
