store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,kashi_item_count
shu_313,"שלי קרית חיים-אח""י אילת",שופרסל,שופרסל שלי,313,"שד.אח""י אילת 20",קרית חיים,2626907,32.821635,35.069351,6.926747654,3399
shu_314,יש חיפה- צרפת,שופרסל,יש בשכונה,314,דרך צרפת 11,חיפה,3559602,32.8204746,34.9593184,-4.616227725,1390
shu_315,אקספרס כפר נטר,שופרסל,שופרסל אקספרס,315,ההדרים 17,כפר נטר,0,32.2735829,34.8740584,12.04256212,2327
shu_316,דיל קרית מוצקין-שד ויצמן,שופרסל,שופרסל דיל,316,ד.ויצמן 1,קרית מוצקין,2635101,32.8334852,35.0738389,-4.063809884,2775
shu_317,אקספרס גבעת עדה,שופרסל,שופרסל אקספרס,317,חי 67,גבעת עדה,0,32.5172326,35.0065338,11.7356645,2360
shu_318,אקספרס חולון - וולפסון,שופרסל,שופרסל אקספרס,318,הלוחמים 62,חולון,0,32.0362056,34.7620058,11.71877484,2098
shu_319,שלי עכו- שפירא,שופרסל,שופרסל שלי,319,רח.משה שפירא 28,עכו,2440929,32.933052,35.082678,7.104898432,3297
shu_320,דיל האגס,שופרסל,שופרסל דיל,320,מנגו 2,אשדוד,,31.77124392,34.63870361,-4.295382701,2692
shu_325,אקספרס ששת הימים נס ציונ,שופרסל,שופרסל אקספרס,325,ששת הימים 1,נס ציונה,0,31.936063,34.7964159,11.85064788,2761
shu_326,שלי נהריה- הגעתון,שופרסל,שופרסל שלי,326,רח.הרצל-שד.הגעתו,נהריה,2240029,33.0067252,35.0964972,5.165108327,2635
shu_327,אקספרס חיפה- ראול ולנברג,שופרסל,שופרסל אקספרס,327,ראול וולנברג 9,חיפה,3499009,32.7797806,34.9851863,11.23006471,1873
shu_329,יש  יוקנעם עילית- היובלים,שופרסל,יש בשכונה,329,מ.מסחרי יקנעם על,יוקנעם,20692,32.660225,35.104606,-5.26741679,1466
shu_330,שלי חיפה- נתיב חן,שופרסל,שופרסל שלי,330,"נתיב חן 1,נוה שא",חיפה,3224001,32.7959783,35.0099278,6.664212938,3427
shu_333,שלי חיפה- אורן,שופרסל,שופרסל שלי,333,רח.אורן 25 רוממה,חיפה,3473402,32.7848302,34.9965532,4.974441456,2459
shu_334,"אקספרס פ""ת - שפירא",שופרסל,שופרסל אקספרס,334,"קק""ל 35",פתח תקווה,,32.08055875,34.88719255,12.08969326,2462
shu_335,"אקספרס כ""ס- בן גוריון",שופרסל,שופרסל אקספרס,335,בן גוריון 35,כפר סבא,,32.17279784,34.90716599,11.28077,1915
shu_336,שלי חיפה- רמות ספיר,שופרסל,שופרסל שלי,336,רח' גוט לוין 48,חיפה,3292240,32.7860722,35.0046155,5.124881087,2497
shu_338,אקספרס כוכב הצפון,שופרסל,שופרסל אקספרס,338,בוני העיר 9,תל אביב יפו,0,32.101499,34.785787,11.60429894,2798
shu_339,דיל טבריה- העמקים,שופרסל,שופרסל דיל,339,העמקים 1,טבריה,1420401,32.7892614,35.5351425,-4.098548668,3267
shu_340,"אקספרס ת""א- זריצקי",שופרסל,שופרסל אקספרס,340,זריצקי 4,תל אביב יפו,,32.1144509,34.7912523,11.63146624,2869
shu_341,"אקספרס רמת גן- הרוא""ה",שופרסל,שופרסל אקספרס,341,"הרוא""ה 131",רמת גן,,32.07923031,34.82516803,11.69138977,2778
shu_342,דיל כרמיאל- קניון לב,שופרסל,שופרסל דיל,342,מורד הגיא 100,כרמיאל,2192401,32.90821446,35.29371734,-4.081030091,2880
shu_343,שלי ראש העין- ברקן,שופרסל,שופרסל שלי,343,בזק 1 פינת ברקן,ראש העין,4863016,32.0935383,34.9738092,5.032783627,2640
shu_344,דיל מעלות- דרך האלוף עוז,שופרסל,שופרסל דיל,344,קניון כוכב הצפון,מעלות תרשיחא,21020,33.0191612,35.2829704,-3.961241238,3018
shu_347,אקספרס גדרה- דרך הפרחים,שופרסל,שופרסל אקספרס,347,דרך הפרחים 38,גדרה,0,31.80998093,34.78448505,12.2323627,2493
shu_348,"אקספרס פ""ת- קק""ל",שופרסל,שופרסל אקספרס,348,"קק""ל 2",פתח תקווה,,32.07944835,34.88294242,12.05188631,2086
shu_349,יש חסד צפת- כנען,שופרסל,יש חסד,349,הר כנען,צפת,13200,32.9715869,35.5050237,-14.42343084,1745
shu_350,דיל גבעת אולגה-הרב ניסים,שופרסל,שופרסל דיל,350,שד' ברוך בוארון1,גבעת אולגה,0,32.44041491,34.88324036,-4.042204555,2945
shu_353,אקספרס יותם,שופרסל,שופרסל אקספרס,353,יותם 20,חיפה,0,32.7924878,34.9879275,11.70488438,1746
shu_354,"'אקספרס ת""א- קינג ג'ורג",שופרסל,שופרסל אקספרס,354,קינג ג'ורג' 58,תל אביב יפו,,32.0752118,34.7763521,11.95821314,1690
shu_357,דיל צורן קדימה- לב השרון,שופרסל,שופרסל דיל,357,דרך לב השרון 422,צורן,4282300,32.2879702,34.9458451,-3.746731865,2851
shu_359,דיל חיפה- גרנד קניון,שופרסל,שופרסל דיל,359,שמחה גולן 54,חיפה,3299001,32.789635,35.0088946,-3.912704016,3264
shu_360,"אקספרס מאירוביץ ראשל""צ",שופרסל,שופרסל אקספרס,360,מאירוביץ 17,ראשון לציון,,31.9586614,34.8083768,12.28062794,2904
shu_361,דיל מגדל העמק- א ת דרומי,שופרסל,שופרסל דיל,361,אזור התעשייה ב,מגדל העמק,2353021,32.6782684,35.2433929,-4.059553297,3119
shu_362,אקספרס קרן היסוד ירושלים,שופרסל,שופרסל אקספרס,362,קרן היסוד 27,ירושלים,0,31.7734111,35.2201442,12.14850138,2195
shu_364,יש חסד בית וגן,שופרסל,יש חסד,364,1 זנגוויל,ירושלים,,31.767976,35.1789844,-14.52847452,1805
shu_365,שלי פרדס חנה כרכור- קדמה,שופרסל,שופרסל שלי,365,דרך הקידמה צמרת,פרדס חנה כרכור,3707307,32.4748111,34.9976808,6.246864359,2594
shu_366,שלי כפר ורדים- מרכז מסחר,שופרסל,שופרסל שלי,366,מרכז מסחרי כפר ו,כפר ורדים,2451700,32.9955566,35.2755959,6.208679574,2602
shu_368,אקספרס-נשר מרגנית,שופרסל,שופרסל אקספרס,368,נשר המרגנית 1,חיפה,0,32.7721793,35.045039,11.92773192,2367
shu_369,שלי שוהם- תרשיש,שופרסל,שופרסל שלי,369,עמק איילון פינת,שוהם,6080001,31.9938747,34.9458434,6.219771379,3182
shu_371,שלי ברניצקי,שופרסל,שופרסל שלי,371,נתן ברניצקי 13,ראשון לציון,0,31.9589758,34.7994432,5.732896683,2722
shu_372,אקספרס בת ים- חשמונאים,שופרסל,שופרסל אקספרס,372,החשמונאים 41,בת ים,0,32.0184307,34.7511524,10.17522343,2353
shu_374,שלי הרצליה- הבנים,שופרסל,שופרסל שלי,374,הבנים 46,הרצליה,4637948,32.1629121,34.8505207,6.620945125,2552
shu_375,"אקספרס כ""ס- הגליל",שופרסל,שופרסל אקספרס,375,הגליל 58,כפר סבא,,32.17919432,34.91882735,12.04347626,2897
shu_376,אקספרס רעננה- משה דיין,שופרסל,שופרסל אקספרס,376,משה דיין 8,רעננה,0,32.1816708,34.8630715,12.05144335,2744
shu_377,אקספרס ירושלים- הדסה,שופרסל,שופרסל אקספרס,377,בית חולים הדסה,ירושלים,0,31.766161,35.1477105,12.01226567,2209
shu_379,אקספרס גבעתיים- כצנלסון,שופרסל,שופרסל אקספרס,379,כצנלסון 19,גבעתיים,0,32.0754177,34.8037801,12.35627869,1929
shu_380,"אקספרס ת""א- מרמורק",שופרסל,שופרסל אקספרס,380,מרמורק 10,תל אביב יפו,,32.0715654,34.7798863,11.83604654,2182
